title;main_story_length;mainextra_length;completionist_length;combined_length;platform
NHLPA Hockey '93;30;;;;Sega Mega Drive/Genesis
OutRun;0.75;3;2;1;Sega Mega Drive/Genesis
Pac-Man 2: The New Adventures;2.5;;;2.5;Sega Mega Drive/Genesis
Paperboy;3.5;;3;3.5;Sega Mega Drive/Genesis
Pit-Fighter;0.4;;0.48333333333333334;0.45;Sega Mega Drive/Genesis
Rambo III;1;;4.5;3;Sega Mega Drive/Genesis
Revolution X;2;;3;2.5;Sega Mega Drive/Genesis
Rise of the Robots;0.9166666666666666;;5.5;3.5;Sega Mega Drive/Genesis
Road Rash (1991);;7;8;7.5;Sega Mega Drive/Genesis
Road Rash 3: Tour De Force;7;6;9.5;7.5;Sega Mega Drive/Genesis
RoboCop Versus The Terminator (Gen/MD);2;;2;2;Sega Mega Drive/Genesis
Rocket Knight Adventures;2;1.5;1;2;Sega Mega Drive/Genesis
Shaq Fu;0.4666666666666667;;3;0.6833333333333333;Sega Mega Drive/Genesis
Shining in the Darkness;18;28;20;24;Sega Mega Drive/Genesis
Skeleton Krew;2;;2;2;Sega Mega Drive/Genesis
Snow Bros;0.7833333333333333;2;3.5;2;Sega Mega Drive/Genesis
Sparkster: Rocket Knight Adventures 2;2;2.5;5;3;Sega Mega Drive/Genesis
Speedball 2: Brutal Deluxe;2.5;10;13.5;9.5;Sega Mega Drive/Genesis
Splatterhouse 2;1.5;1.5;4;2;Sega Mega Drive/Genesis
Splatterhouse 3;1.5;;;1.5;Sega Mega Drive/Genesis
Spot Goes To Hollywood;3;;3;3;Sega Mega Drive/Genesis
Star Control;11;;;11;Sega Mega Drive/Genesis
Starflight;25;16;30;24.5;Sega Mega Drive/Genesis
Street Fighter II: Champion Edition;1;17;13.5;4.5;Sega Mega Drive/Genesis
Street Racer;2;4;8;4.5;Sega Mega Drive/Genesis
Sub-Terrania;;;;;Sega Mega Drive/Genesis
Super Hang-On;0.65;;1.5;1.5;Sega Mega Drive/Genesis
Super Street Fighter II: The New Challengers;1.5;13;13;5.5;Sega Mega Drive/Genesis
Sword of Vermilion;;13.5;15;14.5;Sega Mega Drive/Genesis
Sylvester and Tweety in Cagey Capers;;;4;4;Sega Mega Drive/Genesis
Taz-Mania (Sega);3;;4;3;Sega Mega Drive/Genesis
Teenage Mutant Ninja Turtles: Tournament Fighters;0.6;;5.5;1;Sega Mega Drive/Genesis
The Death and Return of Superman;2;;;2;Sega Mega Drive/Genesis
The Great Circus Mystery Starring Mickey & Minnie;1;;2;1;Sega Mega Drive/Genesis
The Incredible Hulk (1994);;;5;5;Sega Mega Drive/Genesis
The Jungle Book;3;;;3;Sega Mega Drive/Genesis
The Lost Vikings;9.5;8;20;12;Sega Mega Drive/Genesis
The Lost World: Jurassic Park (Sega);5;;;5;Sega Mega Drive/Genesis
The Ren & Stimpy Show: Stimpy's Invention;2.5;;4.5;3.5;Sega Mega Drive/Genesis
The Simpsons: Bart's Nightmare;2.5;;2.5;2.5;Sega Mega Drive/Genesis
The Tick;;;3;3;Sega Mega Drive/Genesis
Theme Park;;10;19.5;18;Sega Mega Drive/Genesis
TinHead;;;;;Sega Mega Drive/Genesis
Tiny Toon Adventures: ACME All-Stars;;;6;6;Sega Mega Drive/Genesis
Toki: Going Ape Spit;2.5;;2.5;2.5;Sega Mega Drive/Genesis
Tom Mason's Dinosaurs for Hire;2;;;2;Sega Mega Drive/Genesis
Trouble Shooter;0.7333333333333333;;;0.7333333333333333;Sega Mega Drive/Genesis
Valis: The Fantasm Soldier;0.8166666666666667;;;0.8166666666666667;Sega Mega Drive/Genesis
Venom/Spider-Man: Separation Anxiety;6.5;;10;9;Sega Mega Drive/Genesis
Virtual Bart;2;;;2;Sega Mega Drive/Genesis
Wings of Wor;1;;;1;Sega Mega Drive/Genesis
Wolverine: Adamantium Rage (MD/Gen);1.5;;2;1.5;Sega Mega Drive/Genesis
World of Illusion Starring Mickey Mouse and Donald Duck;2;;2.5;2;Sega Mega Drive/Genesis
WWF Royal Rumble;0.25;1;3.5;2;Sega Mega Drive/Genesis
X-Men (MD/Gen);0.8666666666666667;;3;2.5;Sega Mega Drive/Genesis
Ys III: Wanderers from Ys;12.5;8;6;10.5;Sega Mega Drive/Genesis
Zero the Kamikaze Squirrel;4.5;;;4.5;Sega Mega Drive/Genesis
Zero Tolerance;11.5;;15;13;Sega Mega Drive/Genesis
Zero Wing;2;;2;2;Sega Mega Drive/Genesis
James Pond 2: Codename RoboCod;2;7;;4.5;Sega Mega Drive/Genesis
Twinkle Tale;1.5;;;1.5;Sega Mega Drive/Genesis
Zool;1.5;;;1.5;Sega Mega Drive/Genesis
James Pond: Underwater Agent;2;;3;2.5;Sega Mega Drive/Genesis
Desert Demolition;;;;;Sega Mega Drive/Genesis
Elemental Master;1;;1;1;Sega Mega Drive/Genesis
World Cup Italia '90;;;;;Sega Mega Drive/Genesis
Power Athlete;0.9666666666666667;;;0.9666666666666667;Sega Mega Drive/Genesis
European Club Soccer;10;;;;Sega Mega Drive/Genesis
Mystical Fighter;;;;;Sega Mega Drive/Genesis
James Pond 3: Operation Starfish;;13;;13;Sega Mega Drive/Genesis
Super Skidmarks;5;;5.5;5;Sega Mega Drive/Genesis
Barney's Hide & Seek Game;;;1.5;1.5;Sega Mega Drive/Genesis
Mighty Morphin Power Rangers (GEN);0.5833333333333334;;1;0.7333333333333333;Sega Mega Drive/Genesis
Two Crude;2;;2.5;2.5;Sega Mega Drive/Genesis
King of the Monsters 2;3;4;;3.5;Sega Mega Drive/Genesis
Turrican;1.5;;;1.5;Sega Mega Drive/Genesis
Battle Mania Daiginjou;0.9833333333333333;;;0.9833333333333333;Sega Mega Drive/Genesis
Street Smart;;;;;Sega Mega Drive/Genesis
ATP Tour Championship Tennis;20;;12;;Sega Mega Drive/Genesis
Predator 2 (1992);1;;;1;Sega Mega Drive/Genesis
The Terminator (Virgin);1.5;;;1.5;Sega Mega Drive/Genesis
Panorama Cotton;0.75;;;0.75;Sega Mega Drive/Genesis
Columns;3;;15.5;10.5;Sega Mega Drive/Genesis
Cool Spot;3;2.5;2.5;3;Sega Mega Drive/Genesis
Super Fantasy Zone;0.7;;;0.7;Sega Mega Drive/Genesis
Super Hydlide;14;;;14;Sega Mega Drive/Genesis
Steel Empire;1;;;1;Sega Mega Drive/Genesis
After Burner;1.5;;2.5;2;Sega Mega Drive/Genesis
Air Buster / Aero Blasters;2;;;2;Sega Mega Drive/Genesis
American Gladiators;0.4166666666666667;;3;1.5;Sega Mega Drive/Genesis
Ballz 3D;30;0.6666666666666666;4;8;Sega Mega Drive/Genesis
Barver Battle Saga: The Space Fighter;20;;52.5;33.5;Sega Mega Drive/Genesis
Battletech;1.5;20;;11;Sega Mega Drive/Genesis
Chase H.Q. 2;1.5;;;1.5;Sega Mega Drive/Genesis
Devil's Crush;4;;4;4;Sega Mega Drive/Genesis
Disney's Ariel: The Little Mermaid;0.75;;;0.75;Sega Mega Drive/Genesis
Disney's Pocahontas;;;;;Sega Mega Drive/Genesis
Dune II: The Building of a Dynasty;13;19.5;19.5;16;Sega Mega Drive/Genesis
Dungeons & Dragons: Warriors of the Eternal Sun;;;;;Sega Mega Drive/Genesis
Flink;2.5;;;2.5;Sega Mega Drive/Genesis
Forgotten Worlds;0.8833333333333333;;2;1;Sega Mega Drive/Genesis
Gaiares;2;;1.5;1.5;Sega Mega Drive/Genesis
Gemfire;10;12;;11;Sega Mega Drive/Genesis
Hellfire;1.5;1.5;3;1.5;Sega Mega Drive/Genesis
Jewel Master;;;4.5;4.5;Sega Mega Drive/Genesis
King's Bounty;3.5;2;2.5;2.5;Sega Mega Drive/Genesis
Lethal Enforcers;0.8166666666666667;1;1.5;0.9833333333333333;Sega Mega Drive/Genesis
Lethal Enforcers II: Gunfighters;0.65;;2;0.9666666666666667;Sega Mega Drive/Genesis
Micro Machines 2: Turbo Tournament;;6.5;1;4;Sega Mega Drive/Genesis
Pinocchio;0.55;;2.5;1.5;Sega Mega Drive/Genesis
Pitfall: The Mayan Adventure;4;;5.5;5;Sega Mega Drive/Genesis
Primal Rage;0.8333333333333334;1;1.5;0.9666666666666667;Sega Mega Drive/Genesis
Pulseman;2;;;2;Sega Mega Drive/Genesis
Road Rash (1994);;8.5;;8.5;Sega Mega Drive/Genesis
Road Rash II;8;7.5;6;7.5;Sega Mega Drive/Genesis
Samurai Shodown;0.85;2;1.5;0.9666666666666667;Sega Mega Drive/Genesis
Saturday Night Slam Masters;1;;9;2;Sega Mega Drive/Genesis
Shadowrun (Sega);19;15.5;21;19;Sega Mega Drive/Genesis
Shining Force;21;20;21;20.5;Sega Mega Drive/Genesis
Space Harrier;0.5666666666666667;;3;2;Sega Mega Drive/Genesis
Stargate (1995);4;;;4;Sega Mega Drive/Genesis
Sword of Sodan;2;;;2;Sega Mega Drive/Genesis
TaleSpin;2;;;2;Sega Mega Drive/Genesis
Taz in Escape from Mars;2.5;;;2.5;Sega Mega Drive/Genesis
The Addams Family;2.5;;3.5;3;Sega Mega Drive/Genesis
The Faery Tale Adventure;8.5;;;8.5;Sega Mega Drive/Genesis
The Flintstones;;;2;2;Sega Mega Drive/Genesis
The Punisher (1993);1;2;2.5;1.5;Sega Mega Drive/Genesis
Thunder Force II;1;0.75;;0.95;Sega Mega Drive/Genesis
Thunder Force III;0.7666666666666667;0.75;;0.7666666666666667;Sega Mega Drive/Genesis
Thunder Force IV;1.5;1.5;0.75;1.5;Sega Mega Drive/Genesis
Tougi Ou: King Colossus;6;;;6;Sega Mega Drive/Genesis
True Lies;2.5;;8;3.5;Sega Mega Drive/Genesis
Truxton;;;;;Sega Mega Drive/Genesis
Virtua Racing;2;4.5;9;5.5;Sega Mega Drive/Genesis
Warlock;;;3;3;Sega Mega Drive/Genesis
Warsong;;29.5;;29.5;Sega Mega Drive/Genesis
Wiz 'n' Liz;1.5;;;1.5;Sega Mega Drive/Genesis
World Series Baseball;14;;30;22;Sega Mega Drive/Genesis
WWF WrestleMania: The Arcade Game;;;15;15;Sega Mega Drive/Genesis
Mystic Defender;0.6666666666666666;;;0.6666666666666666;Sega Mega Drive/Genesis
Cadash;1.5;1;;1.5;Sega Mega Drive/Genesis
M.U.S.H.A.;1.5;;;1.5;Sega Mega Drive/Genesis
Eliminate Down;1.5;;;1.5;Sega Mega Drive/Genesis
Gley Lancer;1;;;1;Sega Mega Drive/Genesis
The Smurfs (1994);1.5;;2;2;Sega Mega Drive/Genesis
FIFA 95;90;;;;Sega Mega Drive/Genesis
Talmit's Adventure;3;;;3;Sega Mega Drive/Genesis
RoboCop 3;0.38333333333333336;;;0.38333333333333336;Sega Mega Drive/Genesis
NHL '94;50;;;;Sega Mega Drive/Genesis
Grind Stormer;1;;;1;Sega Mega Drive/Genesis
Mazin Saga: Mutant Fighter;1.5;;;1.5;Sega Mega Drive/Genesis
Midnight Resistance;0.65;;;0.65;Sega Mega Drive/Genesis
James Bond 007: The Duel;0.75;;;0.75;Sega Mega Drive/Genesis
Dragon Ball Z: Buyuu Retsuden;;;;;Sega Mega Drive/Genesis
Risky Woods;0.48333333333333334;;;0.48333333333333334;Sega Mega Drive/Genesis
Barbie: Super Model;;;2.5;2.5;Sega Mega Drive/Genesis
Madou Monogatari I;18;;;18;Sega Mega Drive/Genesis
Tomb Raider;16;17;18;17;Sega Saturn
NiGHTS into Dreams...;2.5;4.5;5;4;Sega Saturn
Sonic the Hedgehog (1991);1.5;2;2;2;Sega Saturn
Sonic the Hedgehog 2 (16-bit);2.5;3;3;2.5;Sega Saturn
Duke Nukem 3D;9;10.5;11;9.5;Sega Saturn
Rayman;13.5;10.5;14.5;13.5;Sega Saturn
Panzer Dragoon Saga;14;15;16.5;14.5;Sega Saturn
Doom;4;5.5;8;5;Sega Saturn
Resident Evil;6.5;8;15;7.5;Sega Saturn
Sonic the Hedgehog 3;2.5;3;5.5;3;Sega Saturn
Command & Conquer;20;20;32;22.5;Sega Saturn
Mega Man X4;3.5;4;6.5;4.5;Sega Saturn
SimCity 2000;26.5;16.5;;23.5;Sega Saturn
Sonic & Knuckles;2.5;4;11;4;Sega Saturn
Sonic R;2;4;4;3;Sega Saturn
Virtua Fighter 2;1.5;3;8.5;3.5;Sega Saturn
X-Men vs. Street Fighter;0.6;10;7.5;2;Sega Saturn
Alien Trilogy;8;7;;7.5;Sega Saturn
Alone in the Dark 2;7.5;;2;6.5;Sega Saturn
Christmas NiGHTS into Dreams...;1;3;1;1.5;Sega Saturn
Guardian Heroes;1.5;;6;1.5;Sega Saturn
Marvel Super Heroes vs. Street Fighter;0.7333333333333333;;5;1;Sega Saturn
Panzer Dragoon;2;2;4;2;Sega Saturn
Policenauts;12;9;12;11.5;Sega Saturn
Sonic 3D Blast;4;15;7;5;Sega Saturn
Soviet Strike;5;7.5;;7;Sega Saturn
The King of Fighters '97;7.5;3.5;13;6.5;Sega Saturn
PuLiRuLa;;;0.6666666666666666;0.6666666666666666;Sega Saturn
Nekketsu Oyako;1;;;1;Sega Saturn
Croc: Legend of the Gobbos;6;8.5;17;10.5;Sega Saturn
Die Hard Trilogy;8.5;12.5;5.5;7.5;Sega Saturn
Shining Wisdom;;5;;5;Sega Saturn
Sonic 3 & Knuckles;4.5;4;7;5;Sega Saturn
Ultimate Mortal Kombat 3;1;7;12;3;Sega Saturn
Albert Odyssey: Legend of Eldean;37.5;43;56;44.5;Sega Saturn
Astal;1.5;;;1.5;Sega Saturn
Blazing Dragons;10;9;;9.5;Sega Saturn
Bug!;4.5;;;4.5;Sega Saturn
Bulk Slash;0.6666666666666666;;;0.6666666666666666;Sega Saturn
Burning Rangers;2.5;;;2.5;Sega Saturn
Bust-A-Move 2: Arcade Edition;2;;;2;Sega Saturn
Clockwork Knight;3;;;3;Sega Saturn
Cyberbots: Full Metal Madness;0.7666666666666667;2;1.5;1;Sega Saturn
D;1.5;1;1.5;1.5;Sega Saturn
Dark Savior;4.5;;5;5;Sega Saturn
Darkstalkers 3;1.5;;;1.5;Sega Saturn
Daytona USA;1;1.5;2;1.5;Sega Saturn
Dead or Alive;0.9333333333333333;;14;3.5;Sega Saturn
Die Hard Arcade;0.7333333333333333;;1;0.8166666666666667;Sega Saturn
Dragon Force;29;;30;29.5;Sega Saturn
Exhumed;10;;8;9;Sega Saturn
Fighting Vipers;0.6333333333333333;;2;0.7666666666666667;Sega Saturn
Gex;5;6;7.5;5.5;Sega Saturn
Panzer Dragoon II Zwei;1.5;;;1.5;Sega Saturn
Radiant Silvergun;;;20;20;Sega Saturn
Saturn Bomberman;;;4;4;Sega Saturn
Sega Rally Championship;;;8;8;Sega Saturn
Shining the Holy Ark;30.5;29.5;35;31;Sega Saturn
Sonic Jam;;;;;Sega Saturn
Street Fighter Alpha 2;0.6166666666666667;3;1.5;0.9666666666666667;Sega Saturn
Street Fighter Alpha: Warriors' Dreams;0.9666666666666667;3;1.5;1;Sega Saturn
Street Fighter: The Movie;1;;;1;Sega Saturn
The House of the Dead;1;3;3;1.5;Sega Saturn
The Legend of Oasis;;12;7;9.5;Sega Saturn
The Lost World: Jurassic Park (Electronic Arts);8.5;6;13;9;Sega Saturn
Virtua Cop;0.7666666666666667;;1;0.95;Sega Saturn
Virtua Cop 2;1;;2;2;Sega Saturn
Virtua Fighter;0.85;;1.5;1;Sega Saturn
Virtua Fighter Kids;0.5;;;0.5;Sega Saturn
Fighters Megamix;0.36666666666666664;1;;0.48333333333333334;Sega Saturn
Crows: The Battle Action for Sega Saturn;3.5;;;3.5;Sega Saturn
Shining Force III: Scenario 2;40;45;;42.5;Sega Saturn
Manx TT Super Bike;;;;;Sega Saturn
Shining Force III: Scenario 3;;62;;62;Sega Saturn
Lunacy;4;5;;4;Sega Saturn
Decathlete;;;15;15;Sega Saturn
Dark Legend;0.5;;;0.5;Sega Saturn
Deep Fear;12.5;;9.5;10.5;Sega Saturn
Galactic Attack;2;;0.5;1.5;Sega Saturn
Magic Knight Rayearth;20;;;20;Sega Saturn
Marvel Super Heroes;1.5;2;2.5;2;Sega Saturn
Road Rash (1994);;8.5;;8.5;Sega Saturn
Shining Force III;32;56.5;52.5;51;Sega Saturn
Clockwork Knight 2;1.5;3;;2;Sega Saturn
Keio Flying Squadron 2;0.95;;;0.95;Sega Saturn
Chrono Trigger;23.5;26;46;27;Super Nintendo
Final Fantasy VI (Final Fantasy III NA);34;41;66.5;42;Super Nintendo
The Legend of Zelda: A Link to the Past;16;18;19;17.5;Super Nintendo
EarthBound;27.5;28.5;37;28.5;Super Nintendo
Super Mario World;6;7.5;10.5;7.5;Super Nintendo
The Legend of Zelda: Ocarina of Time;27;30.5;39;30.5;Super Nintendo
Final Fantasy V;35;36.5;65;38;Super Nintendo
Another World;2;2.5;2.5;2.5;Super Nintendo
Donkey Kong Country;3.5;5;6.5;4.5;Super Nintendo
Super Mario RPG: Legend of the Seven Stars;16.5;18.5;23;18;Super Nintendo
Super Metroid;7.5;8;9;8;Super Nintendo
Super Mario Bros.;1.5;2;2.5;2;Super Nintendo
Super Mario Bros. 3;5;6;6;5;Super Nintendo
Final Fantasy IV (Final Fantasy II NA);24;28;39.5;28.5;Super Nintendo
Donkey Kong Country 2: Diddy's Kong Quest;5.5;7.5;10;7;Super Nintendo
Final Fantasy II;26;32;42.5;30.5;Super Nintendo
Super Mario Bros. 2;2.5;2.5;3.5;2.5;Super Nintendo
Donkey Kong Country 3: Dixie Kong's Double Trouble!;5;8.5;9.5;7.5;Super Nintendo
Dragon Quest V: Hand of the Heavenly Bride;30.5;37;41.5;34.5;Super Nintendo
Mega Man 2;2.5;2.5;3.5;3;Super Nintendo
Secret Of Mana;22;33;39;27.5;Super Nintendo
Dragon Quest VI: Realms of Revelation;40.5;47.5;63;45;Super Nintendo
Super Castlevania IV;4;;5.5;4;Super Nintendo
Dragon Warrior III;28;35;63;30;Super Nintendo
Kirby Super Star;3.5;5.5;8;5;Super Nintendo
Mega Man X;3.5;4;4;4;Super Nintendo
Tales of Phantasia;32;38.5;53.5;37.5;Super Nintendo
Breath of Fire;27;32;33;31;Super Nintendo
Mega Man X3;5;4.5;6;5.5;Super Nintendo
Soul Blazer;10.5;13;19;14;Super Nintendo
Star Fox;1;1;3;1.5;Super Nintendo
Super Mario World 2: Yoshi's Island;7.5;11;15;9.5;Super Nintendo
Dr. Mario;2;;19;2.5;Super Nintendo
Final Fantasy Mystic Quest;14;15.5;15.5;15;Super Nintendo
Kirby's Dream Land 3;3.5;4;6.5;4;Super Nintendo
Mega Man 7;3.5;5;5.5;5;Super Nintendo
Mega Man X2;5.5;6;6;6;Super Nintendo
Super Street Fighter II Turbo;2.5;4.5;3;3;Super Nintendo
Disney's Bonkers;1;7;;2.5;Super Nintendo
Doom;4;5.5;8;5;Super Nintendo
Earthworm Jim;3;3;3.5;3.5;Super Nintendo
Earthworm Jim 2;3;3;4;3.5;Super Nintendo
Prince of Persia (1989);2;;2.5;2;Super Nintendo
Super Mario Bros.: The Lost Levels;3;3;7.5;3.5;Super Nintendo
Super Mario Kart;2.5;15.5;20.5;6.5;Super Nintendo
Super Star Wars;2;;4;3;Super Nintendo
Final Fantasy Adventure;12.5;8;;11.5;Super Nintendo
Final Fantasy III (Original);34;43.5;52.5;40.5;Super Nintendo
Lemmings;22.5;24.5;13.5;22.5;Super Nintendo
Lufia & the Fortress of Doom;27;32.5;32;30.5;Super Nintendo
Shin Megami Tensei;36;40;42.5;39.5;Super Nintendo
Super Star Wars: The Empire Strikes Back;3;;5;4;Super Nintendo
Teenage Mutant Ninja Turtles: Turtles in Time;2;3;3.5;2.5;Super Nintendo
The Lion King;2;2.5;0.8666666666666667;2;Super Nintendo
Bishoujo Senshi Sailor Moon;1.5;;2;2;Super Nintendo
Castlevania: Dracula X;3.5;4;3.5;3.5;Super Nintendo
Contra III: The Alien Wars;1.5;2;0.9666666666666667;1.5;Super Nintendo
Dragon Warrior;10;15.5;21;13.5;Super Nintendo
Dragon Warrior II;22;28.5;23.5;23.5;Super Nintendo
F-Zero;3.5;3.5;4;3.5;Super Nintendo
Ogre Battle: The March of the Black Queen;27.5;14;;23;Super Nintendo
Populous;11;36;;15.5;Super Nintendo
Secret of Mana 2 / Seiken Densetsu 3;24.5;18;29;25.5;Super Nintendo
Shin Megami Tensei II;48.5;47.5;;47.5;Super Nintendo
Super Mario All-Stars;12;;;;Super Nintendo
Super Star Wars: Return of the Jedi;2;;8;3;Super Nintendo
Terranigma;15;18;21;17.5;Super Nintendo
X-Men: Mutant Apocalypse;3;;7;4.5;Super Nintendo
Animaniacs;1.5;;2.5;2;Super Nintendo
Casper;;;;;Super Nintendo
Demon's Crest;3.5;5.5;6;4.5;Super Nintendo
Disney's Magical Quest starring Mickey Mouse;2;2;;2;Super Nintendo
Dragon Ball Z: Super Butouden 3;;;10;10;Super Nintendo
Hook;4.5;;2;4;Super Nintendo
Illusion of Gaia;13.5;14.5;18;15;Super Nintendo
Jurassic Park (SNES);3.5;16.5;;11;Super Nintendo
Mickey Mania: The Timeless Adventures of Mickey Mouse;2;2;2;2;Super Nintendo
Mighty Morphin Power Rangers: The Fighting Edition;0.6666666666666666;1;;0.75;Super Nintendo
Monopoly (1991);0.65;;;;Super Nintendo
Mortal Kombat 3;2.5;7.5;20;4.5;Super Nintendo
Mortal Kombat II;2;8.5;10;3;Super Nintendo
Pilotwings;12.5;19;20;14;Super Nintendo
Rock n' Roll Racing;15;13;15;15;Super Nintendo
Secret of Evermore;12;51.5;28;34;Super Nintendo
Star Fox 2;0.6666666666666666;2;1.5;0.8833333333333333;Super Nintendo
Star Ocean (1996);23;30;31;26.5;Super Nintendo
Street Fighter II;2;21;10.5;3.5;Super Nintendo
Sunset Riders;2.5;;3.5;2.5;Super Nintendo
Super R-Type;;3;4;3.5;Super Nintendo
The Adventures of Batman & Robin;3;;5;3;Super Nintendo
Tiny Toon Adventures: Buster Busts Loose!;1.5;5;;1.5;Super Nintendo
Top Gear;3;;5;4;Super Nintendo
Toy Story;1.5;2;1.5;1.5;Super Nintendo
Umihara Kawase;3.5;;;3.5;Super Nintendo
Urban Strike;8;8;8;8;Super Nintendo
WWF Super WrestleMania;0.25;;2;1;Super Nintendo
Ys V: Ushinawareta Suna no Miyako Kefin;9;8.5;;9;Super Nintendo
Zombies Ate My Neighbors;9.5;;10;9.5;Super Nintendo
The Mask;3;;;3;Super Nintendo
Fire Emblem: Thracia 776;;38.5;;38.5;Super Nintendo
Holy Umbrella: Dondera no Mubo;4;;;4;Super Nintendo
ActRaiser;4;5;5;4.5;Super Nintendo
Alien 3;1.5;;2.5;2;Super Nintendo
Beavis and Butt-head;4;;4.5;4;Super Nintendo
Biker Mice from Mars (1994);5;6.5;7.5;6.5;Super Nintendo
Bishoujo Senshi Sailor Moon R;;2.5;;2.5;Super Nintendo
Blackthorne;6.5;;5.5;6;Super Nintendo
Brain Lord;13.5;15;8;13;Super Nintendo
Breath of Fire II;38.5;39.5;56.5;42.5;Super Nintendo
ClayFighter;1.5;2;;1.5;Super Nintendo
Clock Tower (1995);2;2;;2;Super Nintendo
Congo's Caper;2;;;2;Super Nintendo
Desert Strike: Return to the Gulf;6;7;6.5;6.5;Super Nintendo
Disney's Aladdin;1.5;2;2.5;2;Super Nintendo
DoReMi Fantasy: Milon no Dokidoki Daibouken;6;;;6;Super Nintendo
E.V.O.: Search for Eden;10;11;;10;Super Nintendo
Harvest Moon;28.5;62;;38;Super Nintendo
Home Alone;2;;2;2;Super Nintendo
King of the Monsters;2.5;3;;2.5;Super Nintendo
Kirby's Avalanche;5.5;;;5.5;Super Nintendo
Kirby's Dream Course;4;;;4;Super Nintendo
Lufia II: Rise of the Sinistrals;27;29;43;29;Super Nintendo
Mickey's Ultimate Challenge;0.8166666666666667;;0.7166666666666667;0.75;Super Nintendo
Mighty Morphin Power Rangers (SNES);1;;1;1;Super Nintendo
Ms. Pac-Man;1.5;3;;2;Super Nintendo
Ninja Gaiden (1989);3;2;3;3;Super Nintendo
Scooby-Doo Mystery;3.5;4;7;4;Super Nintendo
Shadowrun (SNES);14;25;25.5;22;Super Nintendo
Spider-Man and Venom: Maximum Carnage;2;;4;2.5;Super Nintendo
Ultimate Mortal Kombat 3;1;7;12;3;Super Nintendo
Wing Commander;8.5;6;8;8;Super Nintendo
Ys IV: Mask of the Sun;8;;10;9;Super Nintendo
King of Demons;1.5;;0.5833333333333334;1.5;Super Nintendo
Aero the Acro-Bat;4;;5;4.5;Super Nintendo
Alien vs. Predator (SNES);3;6;5.5;5;Super Nintendo
Arcana;;;22;22;Super Nintendo
Arkanoid: Doh it Again;5.5;;5;5;Super Nintendo
Art of Fighting;0.6166666666666667;0.95;0.8;0.7833333333333333;Super Nintendo
B.O.B.;5;4;7;5.5;Super Nintendo
Bahamut Lagoon;27.5;29;;28;Super Nintendo
Batman Forever;2.5;;6;3.5;Super Nintendo
Battle Clash;0.8666666666666667;;;0.8666666666666667;Super Nintendo
Battletoads & Double Dragon;1;7;4.5;2.5;Super Nintendo
Battletoads in Battlemaniacs;0.9833333333333333;;1.5;1;Super Nintendo
Boogerman: A Pick and Flick Adventure;2;;2.5;2.5;Super Nintendo
Brutal: Paws of Fury;4.5;2;4;3.5;Super Nintendo
Bubsy in: Claws Encounters of the Furred Kind;4.5;;4.5;4.5;Super Nintendo
Captain America and The Avengers;1;;3;1.5;Super Nintendo
Cybernator;2;1;;1.5;Super Nintendo
Daffy Duck: The Marvin Missions;1.5;;;1.5;Super Nintendo
Darius Force;0.9666666666666667;;;0.9666666666666667;Super Nintendo
Darius Twin;0.9333333333333333;;1;1;Super Nintendo
Daze Before Christmas;1.5;;;1.5;Super Nintendo
Disney's Magical Quest 3 Starring Mickey & Donald;3;;;3;Super Nintendo
Double Dragon V: The Shadow Falls;0.7;0.9833333333333333;;0.8333333333333334;Super Nintendo
Dragon Ball Z: Super Butouden 2;0.5;;;0.5;Super Nintendo
Dragon Warrior I & II;40;;;;Super Nintendo
Dragon: The Bruce Lee Story;0.8166666666666667;1;3.5;1;Super Nintendo
Earth Defense Force;1.5;;;1.5;Super Nintendo
Emerald Dragon;15;;17;16;Super Nintendo
Equinox (1993);;;10;10;Super Nintendo
Famicom Detective Club Part II: The Girl who Stands Behind;8.5;;;8.5;Super Nintendo
Family Feud;0.25;;;0.25;Super Nintendo
Fatal Fury 2;0.7666666666666667;1;12;6;Super Nintendo
Fatal Fury: King of Fighters;1;1;20;3;Super Nintendo
Final Fight;1.5;0.8333333333333334;1;1.5;Super Nintendo
Final Fight 2;1.5;;2;1.5;Super Nintendo
Final Fight 3;1.5;;3;1.5;Super Nintendo
Final Fight Guy;2;;1;1.5;Super Nintendo
Fire Emblem: Monshou no Nazo;36.5;103.5;45;46;Super Nintendo
Fire Emblem: Seisen no Keifu;29;53;;38.5;Super Nintendo
Firestriker;;;;;Super Nintendo
First Samurai;1.5;;;1.5;Super Nintendo
Front Mission;21;;;21;Super Nintendo
Front Mission: Gun Hazard;16;;;16;Super Nintendo
Ganpuru: Gunman's Proof;5;5;;5;Super Nintendo
Go Go Ackman;2;;2;2;Super Nintendo
Goof Troop;2.5;3;2;2.5;Super Nintendo
Gradius III;1;;1;1;Super Nintendo
Gundam Wing: Endless Duel;0.8833333333333333;;3.5;1;Super Nintendo
Hagane: The Final Conflict;1.5;;;1.5;Super Nintendo
International Superstar Soccer Deluxe;2;;;;Super Nintendo
Ivan 'Ironman' Stewart's Super Off Road;0.75;;2;0.9833333333333333;Super Nintendo
Jungle Strike;7;;8.5;8;Super Nintendo
Justice League Task Force;0.7166666666666667;;;0.7166666666666667;Super Nintendo
Kid Klown in Crazy Chase;;;1;1;Super Nintendo
Killer Instinct (Arcade/SNES);0.9666666666666667;;1;0.9833333333333333;Super Nintendo
Knights of the Round;1.5;;;1.5;Super Nintendo
